campaign,site_dcm,placement,mission,date,creative,clicks,impressions,click_through_conversions,view_through_conversions,click_through_revenue,view_through_revenue
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-09, Christmas 2017 Tracker,7,3,0,0,0,0
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-10, Christmas 2017 Tracker,3,2,0,0,0,0
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-11, Christmas 2017 Tracker,0,2,0,0,0,0
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-12, Christmas 2017 Tracker,2,2,0,0,0,0
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-13, Christmas 2017 Tracker,24,5570,0,0,0,0
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-14, Christmas 2017 Tracker,378,13432,0,2,0,130.21
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-15, Christmas 2017 Tracker,776,13791,0,3,0,264.27
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-16, Christmas 2017 Tracker,1141,17509,1,3,164.35,213.68
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-17, Christmas 2017 Tracker,1021,21074,1,7,240.47,529.52
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-18, Christmas 2017 Tracker,786,25719,0,3,0,203.07
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-19, Christmas 2017 Tracker,830,24105,1,12,39.65,1101.18
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-20, Christmas 2017 Tracker,1098,28444,0,13,0,1033.01
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-21, Christmas 2017 Tracker,841,25811,2,13,208.7,1281.05
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-22, Christmas 2017 Tracker,346,22060,2,15,220.49,1497.029999
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-23, Christmas 2017 Tracker,367,17312,4,22,357.54,1699.89
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-24, Christmas 2017 Tracker,209,15996,1,21,54.44,2483.59
 Christmas 2017 Tracker,Programmatic Trade Desk,PKW8H2_PHD Programmatic PHD BRANDING - HIGH IMPACT Undertone Page Grabber,Brand,2017-11-25, Christmas 2017 Tracker,262,24857,0,19,0,1366.23
